swap_pair,swap_pair_address,liquidity_USD,token_0_symbol,token_0_address,token_0_decimals,token_0_totalSupply,token_1_symbol,token_1_address,token_1_decimals,token_1_totalSupply
DAI-WBNB,0xe6cf29055e747e95c058f64423d984546540ede5,136.054,DAI,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,18,29672,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
VUSD-WBNB,0x183b94f8bd95e21ea5a1fd0a2d08d55aec97e517,39.085,VUSD,0xa80d76abb3087f730ce14aaf54b211611bac0be8,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
KKK-WBNB,0xdd34b00936bed43a82811aabf902d5c066842990,112.695,KKK,0x6c4ae5ad731d01430f79ba8bd3925e8155c70826,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WBNB-QTM,0x9b46755e7dafaa889363687f11372fadb83879e8,74.771,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,QTM,0xe98d64f855e2209d3d2a938ad881434c3387ba11,9,18792
FONZI-WBNB,0x06d7486c3739b55adc1898207f3ea8360642656c,76.195,FONZI,0x16e55d6f0bda1bb42efe11f0c8e24397d44f7904,10,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
CDS-WBNB,0x29a68023b7887115470c9b9305ca71af62bf8982,55.122,CDS,0x23f07a1c03e7c6d0c88e0e05e79b6e3511073fd5,8,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
ICEB-WBNB,0x196aafb9e97c7886be7965c1f5eca2ae905f68a8,58.36,ICEB,0x7d8fc24e0235b3237b970962d6335912c942b0d4,6,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
DOT-WBNB,0x8bc543a03edd67eb454174417f55f020d6fab215,59.013,DOT,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
Cake-WBNB,0x2b84009d37001bc8d41738abb4fe650bbe62e2b1,55.134,Cake,0x942b79d346954dc51946a1655999f496ae33879e,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
BTCB-WBNB,0xa05eeeb2754117a9f9df75a3d5c0e742bc422b8c,110.504,BTCB,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
